종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
089890,코세스,IT,3093.0,10.53,2.38,700.0,0.0,0.0,196.0,39.0,28.0,14.0,20.2,1.29,56226.0
143540,영우디에스피,IT,1420.0,7.48,1.05,200.0,0.0,0.0,173.0,-72.0,-93.0,-28.1,-42.9,1.18,56009.0
357880,비트나인,IT,3227.0,52.71,2.29,140.0,0.0,0.0,46.0,6.0,8.0,9.2,10.2,3.03,55781.0
057540,옴니시스템,IT,1957.0,0.0,0.84,0.0,0.0,0.0,280.0,8.0,4.0,0.4,0.6,0.86,55779.0
106520,노블엠앤비,IT,2173.0,0.0,1.12,0.0,0.0,0.0,44.0,-5.0,42.0,6.2,14.8,0.61,55639.0
105330,케이엔더블유,IT,4843.0,91.91,1.69,89.0,0.0,0.0,200.0,21.0,19.0,10.9,25.5,1.04,55590.0
071280,로체시스템즈,IT,5602.0,10.6,1.2,634.0,0.3,20.0,337.0,71.0,42.0,15.7,21.7,1.02,55508.0
031820,콤텍시스템,IT,1158.0,22.68,0.55,28.0,0.0,0.0,1261.0,-50.0,-33.0,-4.2,-7.0,0.93,55345.0
095270,웨이브일렉트로,IT,5309.0,1.13,0.88,4114.0,0.0,0.0,81.0,-27.0,-23.0,-13.5,-14.4,0.68,55174.0
272110,케이엔제이,IT,5518.0,13.91,1.97,780.0,0.0,0.0,127.0,43.0,45.0,10.2,22.1,1.49,55173.0
347890,엠투아이,IT,3916.0,13.6,2.07,597.0,3.08,250.0,112.0,33.0,28.0,15.1,16.9,0.81,54561.0
036090,위지트,IT,1399.0,6.27,0.5,112.0,0.0,0.0,91.0,9.0,-13.0,-3.4,-4.1,0.94,54314.0
097800,윈팩,IT,1326.0,0.0,1.0,0.0,0.0,0.0,346.0,6.0,-7.0,-2.0,-4.9,1.18,54167.0
092870,엑시콘,IT,12608.0,2.6,0.68,3307.0,1.16,100.0,173.0,22.0,28.0,6.0,7.0,1.22,53994.0
033560,블루콤,IT,9373.0,1397.5,0.6,4.0,0.09,5.0,106.0,-13.0,-11.0,-0.1,-0.1,0.59,53530.0
033230,인성정보,IT,1871.0,67.12,0.93,26.0,0.0,0.0,661.0,-6.0,-11.0,-2.4,-6.2,0.76,53376.0
065650,메디프론,IT,970.0,0.0,1.57,0.0,0.0,0.0,100.0,-10.0,-55.0,-24.2,-34.6,0.83,53211.0
255440,야스,IT,12406.0,48.33,0.63,162.0,0.64,50.0,188.0,6.0,15.0,0.7,1.1,1.13,53167.0
