종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV,매출액,영업이익,당기순이익,ROA,ROE,베타
306040,에스제이그룹,경기관련소비재,섬유·의류,KOSDAQ,83998,132591243,8.37,1.85,2.27,569.0,150.0,116.0,23.0,34.5,0.91
036530,SNT홀딩스,경기관련소비재,기타금융,KOSPI,83932,132591243,2.93,0.24,4.49,3407.0,279.0,338.0,5.3,6.3,0.52
005720,넥센,경기관련소비재,화학,KOSPI,83737,132591243,7.7,0.2,2.49,7591.0,-115.0,29.0,-0.7,0.8,0.72
353590,오토앤,경기관련소비재,유통,KOSDAQ,82738,132591243,62.3,7.21,0.0,122.0,-10.0,-8.0,-10.8,-21.7,0.48767
079980,휴비스,경기관련소비재,화학,KOSPI,82662,132591243,53.96,0.42,5.01,2695.0,-147.0,-133.0,-5.4,-10.3,0.72
352700,씨앤투스성진,경기관련소비재,섬유·의류,KOSDAQ,82342,132591243,3.17,0.9,14.42,374.0,97.0,82.0,17.7,21.2,0.57
376180,피코그램,경기관련소비재,기타제조,KOSDAQ,82108,132591243,63.91,8.15,0.0,91.0,12.0,12.0,8.6,15.8,1.68
092200,디아이씨,경기관련소비재,운수장비,KOSPI,81293,132591243,5.34,1.68,0.0,1745.0,116.0,89.0,5.0,24.5,1.25
004700,조광피혁,경기관련소비재,기타제조업,KOSPI,80697,132591243,14.26,0.42,0.67,269.0,-7.0,25.0,1.3,1.6,0.45
122350,삼기,경기관련소비재,운송장비·부품,KOSDAQ,78822,132591243,0.0,0.85,0.96,1369.0,30.0,17.0,2.6,7.1,0.99
194370,제이에스코퍼레이션,경기관련소비재,기타제조업,KOSPI,78413,132591243,4.33,1.05,3.57,2642.0,229.0,201.0,12.8,33.4,0.95
101140,인바이오젠,경기관련소비재,유통업,KOSPI,78349,132591243,1.15,0.77,0.0,35.0,-13.0,-626.0,-101.3,-180.3,1.12
362320,청담글로벌,경기관련소비재,유통,KOSDAQ,77688,132591243,23.76,5.38,0.0,643.0,33.0,27.0,18.4,27.5,0.25666
011320,유니크,경기관련소비재,운송장비·부품,KOSDAQ,77667,132591243,20.53,1.18,0.0,650,6,-,0.9,1.9,1.2
047400,유니온머티리얼,경기관련소비재,비금속광물,KOSPI,77566,132591243,263.08,1.71,1.02,323.0,9.0,20.0,3.5,8.0,0.69
013310,아진산업,경기관련소비재,운송장비·부품,KOSDAQ,77489,132591243,50.32,0.57,0.0,1447.0,162.0,136.0,7.0,19.8,1.38
009270,신원,경기관련소비재,섬유의복,KOSPI,76331,132591243,9.88,0.61,3.07,2512.0,102.0,73.0,6.0,13.6,0.79
067280,멀티캠퍼스,경기관련소비재,디지털컨텐츠,KOSDAQ,75984,132591243,10.08,1.5,1.73,877.0,102.0,75.0,9.8,17.5,0.76
234100,폴라리스세원,경기관련소비재,운송장비·부품,KOSDAQ,75863,132591243,11.49,1.03,0.0,484.0,39.0,55.0,6.6,10.3,1.08
041930,동아화성,경기관련소비재,화학,KOSDAQ,74260,132591243,11.23,1.09,1.6,837.0,8.0,153.0,11.8,23.8,1.27
237880,클리오,경기관련소비재,화학,KOSDAQ,74129,132591243,26.54,1.48,1.02,662.0,45.0,29.0,3.1,4.2,0.81
019660,글로본,경기관련소비재,유통,KOSDAQ,73786,132591243,0.0,4.89,0.0,51.0,1.0,3.0,-10.1,-19.3,0.72
053280,예스24,경기관련소비재,인터넷,KOSDAQ,73673,132591243,8.4,0.47,3.19,1569.0,26.0,14.0,1.9,3.7,1.19
005320,국동,경기관련소비재,유통업,KOSPI,73273,132591243,0.0,0.8,0.0,893.0,-24.0,-25.0,-1.4,-2.4,0.85
265560,영화테크,경기관련소비재,운송장비·부품,KOSDAQ,72960,132591243,57.11,2.77,0.37,109.0,7.0,4.0,1.4,1.8,0.83
009680,모토닉,경기관련소비재,운수장비,KOSPI,72072,132591243,15.33,0.44,4.76,575.0,44.0,39.0,5.5,5.9,1.22
007860,서연,경기관련소비재,기타금융,KOSPI,71069,132591243,6.03,0.3,1.52,7849.0,428.0,184.0,4.5,13.3,1.04
257720,실리콘투,경기관련소비재,유통,KOSDAQ,70991,132591243,24.37,1.74,0.0,373.0,25.0,27.0,8.4,10.5,1.47
002170,삼양통상,경기관련소비재,기타제조업,KOSPI,70605,132591243,4.5,0.37,2.39,447.0,53.0,-10.0,2.6,2.9,0.53
067170,오텍,경기관련소비재,운송장비·부품,KOSDAQ,70306,132591243,0.0,0.66,1.96,2687.0,37.0,-45.0,-0.8,-3.7,0.92
027050,코리아나,경기관련소비재,화학,KOSDAQ,70296,132591243,28.32,1.12,0.0,221.0,6.0,5.0,1.9,2.6,0.73
024740,한일단조,경기관련소비재,운송장비·부품,KOSDAQ,69719,132591243,0.0,1.02,0.0,438.0,19.0,12.0,1.5,3.1,1.0
011330,유니켐,경기관련소비재,기타제조업,KOSPI,69698,132591243,22.69,0.78,2.54,335.0,14.0,7.0,1.2,3.2,1.05
308170,센트랄모텍,경기관련소비재,운수장비,KOSPI,69224,132591243,100.9,1.47,0.0,1042.0,-4.0,49.0,1.2,3.4,0.66
366030,공구우먼,경기관련소비재,유통,KOSDAQ,68984,132591243,17.38,5.62,23.76,189.0,50.0,40.0,23.2,25.7,0.99297
226320,잇츠한불,경기관련소비재,화학,KOSPI,68748,132591243,0.0,0.77,1.21,332.0,5.0,32.0,2.0,-0.4,0.85
260930,씨티케이,경기관련소비재,화학,KOSDAQ,68593,132591243,0.0,0.89,1.24,176.0,-37.0,-33.0,-8.9,-8.7,0.66
090370,메타랩스,경기관련소비재,섬유의복,KOSPI,67616,132591243,0.0,1.03,0.0,88.0,-1.0,-55.0,-15.1,-27.2,0.52
002450,삼익악기,경기관련소비재,기타제조업,KOSPI,67174,132591243,4.76,0.46,3.57,692.0,17.0,-16.0,6.3,13.4,0.54
040420,정상제이엘에스,경기관련소비재,기타서비스,KOSDAQ,64425,132591243,8.34,1.58,6.96,275.0,47.0,37.0,13.4,20.4,0.21
043370,피에이치에이,경기관련소비재,운송장비·부품,KOSDAQ,63882,132591243,3.69,0.21,2.66,2389.0,69.0,113.0,3.3,4.7,0.92
023800,인지컨트롤스,경기관련소비재,운수장비,KOSPI,62997,132591243,31.92,0.59,2.01,1400.0,44.0,49.0,2.7,8.6,1.61
089470,HDC현대EP,경기관련소비재,화학,KOSPI,62585,132591243,11.98,0.41,3.28,2709.0,13.0,10.0,1.4,3.2,1.11
159580,제로투세븐,경기관련소비재,유통,KOSDAQ,62422,132591243,128.81,2.02,0.0,238.0,8.0,9.0,4.0,5.2,1.1
009320,대우부품,경기관련소비재,운수장비,KOSPI,62422,132591243,0.0,2.7,0.0,252.0,-8.0,-17.0,-3.3,-8.7,1.24
102370,케이옥션,경기관련소비재,유통,KOSDAQ,62234,132591243,14.55,2.22,0.0,84.0,25.0,19.0,6.9,10.3,1.21649
