매출액,영업이익,당기순이익,ROA,ROE,베타
164.0,90.0,75.0,13.3,14.3,0.68
262.0,13.0,11.0,4.0,6.0,0.56
,-71.0,-80.0,-19.7,-51.7,1.25
325.0,-17.0,-108.0,-9.3,-22.4,1.23
622.0,143.0,152.0,26.1,38.6,1.47
131.0,22.0,12.0,3.8,5.4,0.81
497.0,174.0,98.0,9.1,12.5,0.93
222.0,-3.0,-20.0,-8.3,-12.7,0.83
2610.0,142.0,89.0,0.5,1.1,0.56
2.0,-38.0,-35.0,-19.0,-19.7,0.86
48.0,-123.0,-163.0,-51.4,-109.1,1.65
308.0,90.0,74.0,32.7,51.2,1.09
119.0,-8.0,-21.0,-4.3,-6.3,0.75
141.0,66.0,53.0,20.7,23.5,1.72
27.0,-15.0,122.0,14.4,20.1,1.34
1671.0,210.0,148.0,9.8,14.0,0.77
522.0,-15.0,-14.0,-2.9,-5.6,0.94
1825.0,138.0,151.0,6.2,10.9,0.56
25.0,-137.0,153.0,-14.0,-409690.7,1.32393
160.0,-47.0,-116.0,-11.9,-23.8,1.23
201,12,-,0.2,0.2,1.21
831.0,89.0,72.0,6.9,9.1,1.12
637.0,160.0,78.0,12.4,16.0,0.77
1.0,-31.0,-61.0,-32.6,-92.9,0.65
116.0,1.0,10.0,1.2,3.0,1.01
1650.0,94.0,9.0,3.3,10.4,0.79
26.0,-183.0,-173.0,-36.5,-57.8,0.93
1633.0,44.0,30.0,0.8,1.5,0.54
76.0,-36.0,-51.0,-11.1,-15.8,1.07
675.0,42.0,42.0,4.6,6.7,0.57
345.0,11.0,19.0,2.5,4.4,0.8
-,-29,-34,-19.1,-20.3,1.33
10.0,-25.0,-25.0,-36.5,-59.0,1.54
302.0,71.0,43.0,8.3,11.1,0.63
1241.0,109.0,75.0,7.1,12.1,0.77
1067.0,230.0,233.0,17.1,25.2,0.88
7.0,-55.0,-60.0,-42.4,-100.2,1.36375
14.0,-24.0,-41.0,-19.0,-39.8,1.27
55.0,-67.0,-66.0,-5.9,-8.7,1.31
643.0,118.0,147.0,13.3,16.8,0.7
297.0,6.0,-51.0,-3.1,-4.9,0.73
394.0,99.0,86.0,17.4,19.4,0.66
19.0,-74.0,-92.0,-34.7,-86.7,1.33
112.0,-60.0,-86.0,-14.6,-16.6,1.55
1170.0,102.0,71.0,7.8,15.9,0.59
3618.0,103.0,37.0,2.7,4.2,0.54
