종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"00781K","코리아써키트2우B","KOSPI","전기전자","8880","40","0.45","6959247120"
"003690","코리안리","KOSPI","보험","8250","0","0.00","993045207000"
"192820","코스맥스","KOSPI","화학","60100","0","0.00","682105490900"
"044820","코스맥스비티아이","KOSPI","기타금융","8430","20","0.24","80961054030"
"005070","코스모신소재","KOSPI","화학","62700","-400","-0.63","1921802401200"
"005420","코스모화학","KOSPI","화학","24450","-50","-0.20","855951174600"
"071950","코아스","KOSPI","기타제조업","945","-2","-0.21","29207313450"
"002020","코오롱","KOSPI","기타금융","25900","550","2.17","327024433400"
"003070","코오롱글로벌","KOSPI","건설업","18050","100","0.56","455048405900"
"003075","코오롱글로벌우","KOSPI","건설업","30800","600","1.99","9634332400"
"002025","코오롱우","KOSPI","기타금융","17350","450","2.66","18675366500"
"120110","코오롱인더","KOSPI","화학","50200","0","0.00","1381458368200"
"120115","코오롱인더우","KOSPI","화학","27000","-50","-0.18","74732220000"
"138490","코오롱플라스틱","KOSPI","화학","11450","350","3.15","435100000000"
"021240","코웨이","KOSPI","서비스업","61300","-300","-0.49","4523916644700"
"036420","콘텐트리중앙","KOSPI","서비스업","38250","1950","5.37","733341201750"
"031820","콤텍시스템","KOSPI","서비스업","745","-5","-0.67","90183342170"
"192400","쿠쿠홀딩스","KOSPI","기타금융","17400","0","0.00","618782019000"
"284740","쿠쿠홈시스","KOSPI","서비스업","31950","-500","-1.54","716872693500"
"015590","큐로","KOSPI","기계","396","0","0.00","91559808648"
"264900","크라운제과","KOSPI","음식료품","9020","-120","-1.31","112965127000"
"26490K","크라운제과우","KOSPI","음식료품","12350","-100","-0.80","9553466000"
"005740","크라운해태홀딩스","KOSPI","기타금융","7310","70","0.97","108534106570"
"005745","크라운해태홀딩스우","KOSPI","기타금융","11500","-100","-0.86","6908349000"
"259960","크래프톤","KOSPI","서비스업","232000","-4000","-1.69","11384714440000"
"020120","키다리스튜디오","KOSPI","서비스업","8330","0","0.00","304717572530"
"039490","키움증권","KOSPI","증권","81600","-300","-0.37","2139512260800"
"014580","태경비케이","KOSPI","비금속광물","4440","5","0.11","122468964000"
"015890","태경산업","KOSPI","화학","6790","-100","-1.45","198463212500"
"006890","태경케미컬","KOSPI","화학","12300","200","1.65","142680000000"
"003240","태광산업","KOSPI","화학","818000","-5000","-0.61","910761200000"
"011280","태림포장","KOSPI","종이목재","3090","-95","-2.98","218790354600"
"004100","태양금속","KOSPI","운수장비","1275","-5","-0.39","46792500000"
"004105","태양금속우","KOSPI","운수장비","2400","15","0.63","7920000000"
